position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
63	230.04166666666666	0
67	230.04166666666666	9.201666666666667e-4
68	230.04166666666666	0.0011502083333333334
72	230.04166666666666	0.002070375
75	230.04166666666666	0.0027605
78	230.04166666666666	0.0034506249999999997
84	230.04166666666666	0.004830875
87	230.04166666666666	0.005521
91	230.04166666666666	0.006441166666666666
94	230.04166666666666	0.007131291666666666
102	230.04166666666666	0.008971624999999999
104	230.04166666666666	0.009431708333333332
106	230.04166666666666	0.009891791666666665
108	230.04166666666666	0.010351874999999998
109	230.04166666666666	0.010581916666666665
110	230.04166666666666	0.010811958333333331
116	230.04166666666666	0.012192208333333331
121	230.04166666666666	0.013342416666666664
128	230.04166666666666	0.01495270833333333
134	230.04166666666666	0.01633295833333333
135	230.04166666666666	0.016562999999999998
140	230.04166666666666	0.01771320833333333
145	230.04166666666666	0.018863416666666664
150	230.04166666666666	0.020013624999999997
159	230.04166666666666	0.022083999999999996
501	130.04166666666666	0.06655825
577	27.541666666666668	0.06865141666666666
1280	27.541666666666668	0.08801320833333333
1283	27.541666666666668	0.08809583333333333
1289	27.541666666666668	0.08826108333333334
1838	27.541666666666668	0.10338145833333334
3067	27.541666666666668	0.13723016666666668
3069	27.541666666666668	0.13728525000000003
3070	27.541666666666668	0.13731279166666668
3077	27.541666666666668	0.13750558333333335
3285	27.541666666666668	0.14323425
3288	27.541666666666668	0.143316875
3289	27.541666666666668	0.14334441666666667
3290	70.875	0.14341529166666667
3294	254.375	0.14443279166666667
3307	1089.9166666666665	0.15860170833333334
3312	2055.75	0.16888045833333334
3315	2257.875	0.17565408333333335
3317	2179.7916666666665	0.18001366666666668
3322	2936.0416666666665	0.19469387500000002
3323	3460.5833333333335	0.19815445833333334
3324	3884.5416666666665	0.202039
3325	1659.875	0.203698875
3326	358.2916666666667	0.20405716666666668
3331	237.125	0.20524279166666667
3344	237.125	0.20832541666666668
3347	237.125	0.20903679166666667
3353	225.125	0.21038754166666668
3357	222.41666666666666	0.21127720833333336
3360	222.41666666666666	0.21194445833333336
3362	222.41666666666666	0.2123892916666667
3449	222.41666666666666	0.23173954166666672
3450	222.41666666666666	0.23196195833333338
3452	222.41666666666666	0.23240679166666672
3464	222.41666666666666	0.23507579166666673
3465	222.41666666666666	0.2352982083333334
3613	222.41666666666666	0.26821587500000005
3630	222.41666666666666	0.27199695833333337
3634	222.41666666666666	0.27288662500000005
3646	847.75	0.28305962500000004
3647	2327.625	0.28538725000000004
3649	2623.7916666666665	0.2906348333333334
3658	2623.7916666666665	0.3142489583333334
3659	2623.7916666666665	0.31687275000000004
3660	2623.7916666666665	0.3194965416666667
3662	2623.7916666666665	0.32474412500000005
3664	2623.7916666666665	0.32999170833333336
3666	2623.7916666666665	0.33523929166666666
3670	2720.4166666666665	0.34612095833333334
7732	2799.7916666666665	11.718874708333333
7733	3575.9166666666665	11.722450624999999
8308	3575.9166666666665	13.778602708333331
8311	3491.125	13.789076083333331
8312	3585.75	13.79266183333333
8313	3707.5833333333335	13.796369416666664
8316	3707.5833333333335	13.807492166666664
8318	3707.5833333333335	13.81490733333333
8320	3707.5833333333335	13.822322499999997
8322	429.6666666666667	13.82318183333333
8326	65.95833333333333	13.823445666666663
8807	65.95833333333333	13.855171624999995
9672	65.95833333333333	13.912225583333328
9673	65.95833333333333	13.912291541666661
9680	65.95833333333333	13.912753249999994
9691	1174.9166666666667	13.925677333333327
9692	3180.7083333333335	13.928858041666661
9693	631.3333333333334	13.929489374999994
9695	454.6666666666667	13.930398708333326
9696	1.2083333333333333	13.93039991666666
10122	1.2083333333333333	13.930914666666661
10126	1.2083333333333333	13.930919499999995
10129	1.2083333333333333	13.930923124999994
11811	1.2083333333333333	13.932955541666662
11821	1.2083333333333333	13.932967624999995
11828	1.2083333333333333	13.932976083333328
12363	1.2083333333333333	13.933622541666661
15300	1.2083333333333333	13.937171416666661
16839	59.375	14.028549541666662
16840	6418.333333333333	14.034967874999994
18242	2320.75	17.288659374999995
18243	24.25	17.288683624999994
23460	24.25	17.415195874999995
23472	24.25	17.415486874999996
23474	24.25	17.415535374999994
23476	24.25	17.415583874999992
23486	24.25	17.41582637499999
23487	24.25	17.41585062499999
23490	24.25	17.41592337499999
23497	24.25	17.416093124999993
23515	24.25	17.416529624999992
23516	24.25	17.41655387499999
23630	24.25	17.419318374999992
23647	24.25	17.419730624999993
23648	24.25	17.41975487499999
23716	24.25	17.421403874999992
23747	24.25	17.42215562499999
23748	24.25	17.42217987499999
23753	24.25	17.42230112499999
23759	24.25	17.42244662499999
23760	24.25	17.422470874999988
24096	24.25	17.430618874999986
24099	24.25	17.430691624999987
24100	24.25	17.430715874999986
24293	24.25	17.435396124999986
24295	24.25	17.435444624999985
24296	24.25	17.435468874999984
24298	24.25	17.435517374999982
24305	24.25	17.435687124999983
24309	24.25	17.435784124999984
24310	24.25	17.435808374999983
24498	72.33333333333333	17.44940704166665
24500	128.54166666666666	17.449664124999984
24504	150.83333333333334	17.450267458333318
24672	84.58333333333333	17.464477458333317
24673	28.208333333333332	17.46450566666665
24674	1.875	17.46450754166665
24837	1.875	17.464813166666648
24840	1.875	17.464818791666648
24844	1.875	17.464826291666647
24848	1.875	17.464833791666646
24853	1.875	17.464843166666647
24858	1.875	17.464852541666648
24863	1.875	17.46486191666665
24867	1.875	17.464869416666648
24868	1.875	17.464871291666647
24870	1.875	17.464875041666648
24873	227.95833333333334	17.465558916666648
24874	465.1666666666667	17.466024083333316
24886	465.1666666666667	17.471606083333317
24889	230.33333333333334	17.472297083333316
24890	1.4583333333333333	17.47229854166665
24901	1.4583333333333333	17.472314583333315
24902	1.4583333333333333	17.472316041666648
24905	1.4583333333333333	17.472320416666648
24921	1.4583333333333333	17.472343749999983
24926	1.4583333333333333	17.47235104166665
24927	1.4583333333333333	17.47235249999998
24928	1.4583333333333333	17.472353958333315
24938	1.4583333333333333	17.472368541666647
24946	1.4583333333333333	17.472380208333313
24949	1.4583333333333333	17.472384583333312
24952	1.4583333333333333	17.472388958333312
24954	1.4583333333333333	17.47239187499998
24965	1.4583333333333333	17.472407916666644
24968	1.4583333333333333	17.472412291666643
25061	1.4583333333333333	17.47254791666664
25110	18.916666666666668	17.47347483333331
25111	38.833333333333336	17.473513666666644
25114	69.625	17.473722541666643
27884	34.208333333333336	17.568479624999977
27888	5.166666666666667	17.568500291666645
27908	4.541666666666667	17.56859112499998
27933	4.541666666666667	17.568704666666648
27940	4.541666666666667	17.568736458333316
27943	4.541666666666667	17.568750083333317
27946	4.541666666666667	17.568763708333318
27964	4.541666666666667	17.568845458333318
27965	4.541666666666667	17.568849999999983
27967	4.541666666666667	17.568859083333315
27973	4.541666666666667	17.568886333333314
27981	4.541666666666667	17.568922666666648
28082	6118.583333333333	18.186899583333314
28447	5796.791666666667	20.30272854166665
28448	4	20.30273254166665
28451	4	20.30274454166665
28456	4	20.30276454166665
28460	4	20.30278054166665
