position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
88	2952.25	0
105	2947.0416666666665	0.050099708333333326
120	2938.7916666666665	0.09418158333333332
126	2938.7916666666665	0.11181433333333332
133	2938.7916666666665	0.132385875
137	2938.7916666666665	0.14414104166666666
153	2938.7916666666665	0.19116170833333332
160	2938.7916666666665	0.21173324999999998
288	2938.7916666666665	0.5878985833333332
289	2938.7916666666665	0.5908373749999999
846	2938.7916666666665	2.2277443333333333
863	2938.7916666666665	2.2777037916666667
866	2938.7916666666665	2.2865201666666666
873	2938.7916666666665	2.307091708333333
876	2938.7916666666665	2.315908083333333
877	2938.7916666666665	2.3188468749999998
882	2938.7916666666665	2.333540833333333
909	2938.7916666666665	2.4128882083333334
912	2938.7916666666665	2.4217045833333333
915	2863.375	2.4302947083333333
921	2862.8333333333335	2.4474717083333335
957	2925.0833333333335	2.5527747083333336
973	2951.875	2.6000047083333335
1021	3037.8333333333335	2.7458207083333335
1031	3037.8333333333335	2.7761990416666666
1038	3037.8333333333335	2.797463875
1041	3037.8333333333335	2.8065773750000003
1650	2005.625	4.028003
1651	1785.0833333333333	4.029788083333333
1652	17.458333333333332	4.029805541666667
1804	17.458333333333332	4.032459208333333
1825	17.458333333333332	4.032825833333333
1873	114.125	4.038303833333333
1892	114.125	4.040472208333333
1901	114.125	4.041499333333333
1903	114.125	4.0417275833333335
1920	114.125	4.0436677083333334
1922	114.125	4.043895958333334
1923	114.125	4.044010083333333
1942	114.125	4.046178458333333
1955	114.125	4.047662083333333
1956	114.125	4.047776208333333
1970	100.16666666666667	4.049178541666666
1983	70.75	4.050098291666666
1984	41.833333333333336	4.0501401249999995
1989	14.291666666666666	4.050211583333333
2395	14.291666666666666	4.056013999999999
2415	14.291666666666666	4.056299833333333
2420	14.291666666666666	4.056371291666666
2431	14.291666666666666	4.0565285
2500	14.291666666666666	4.057514625
2519	14.291666666666666	4.057786166666666
2528	14.291666666666666	4.057914791666667
2530	14.291666666666666	4.057943375
2547	14.291666666666666	4.0581863333333335
2549	14.291666666666666	4.058214916666667
2550	14.291666666666666	4.058229208333334
2569	14.291666666666666	4.05850075
2582	14.291666666666666	4.058686541666667
2583	14.291666666666666	4.058700833333334
2597	14.291666666666666	4.058900916666667
2610	14.291666666666666	4.059086708333334
2611	14.291666666666666	4.059101000000001
2616	14.291666666666666	4.059172458333334
2985	14.291666666666666	4.064446083333334
2989	14.291666666666666	4.064503250000001
2991	14.291666666666666	4.0645318333333345
3117	19.458333333333332	4.066983583333334
3144	22.208333333333332	4.0675832083333345
3146	26.625	4.067636458333334
3157	32.291666666666664	4.067991666666668
3163	41.875	4.068242916666668
3171	59.083333333333336	4.068715583333335
3186	59.083333333333336	4.069601833333334
3213	59.083333333333336	4.071197083333335
3228	59.083333333333336	4.072083333333334
3255	59.083333333333336	4.073678583333335
3258	59.083333333333336	4.073855833333335
3259	59.083333333333336	4.073914916666668
3262	59.083333333333336	4.074092166666668
3285	59.083333333333336	4.075451083333335
3322	59.083333333333336	4.077637166666668
3328	59.083333333333336	4.0779916666666685
3348	1029.75	4.098586666666669
3352	33.458333333333336	4.0987205000000015
3356	33.458333333333336	4.0988543333333345
3358	33.458333333333336	4.098921250000001
3359	33.458333333333336	4.098954708333334
